ID,Title,Dynasty,Artist,Format,Material,H,W,A,Size,Institute,Nationality,Source,Note,Seals and Inscriptions,Set,Tag1,Tag2,Tag3,Tag4
68,道子墨寶39,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
69,道子墨寶40,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
70,道子墨寶41,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
71,道子墨寶42,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
72,道子墨寶43,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
73,道子墨寶44,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
74,道子墨寶45,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
75,道子墨寶46,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
76,道子墨寶47,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
77,道子墨寶48,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
78,道子墨寶49,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
79,道子墨寶50,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
80,草堂消夏圖,SS0,佚名,circular 圓幅,Silk 絹本,26,27.3,709.8,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,figure,architecture,,
